offset,key
0.0,F Major
2.0,F Major
3.0,F Major
4.0,F Major
5.0,F Major
6.0,F Major
7.0,F Major
9.0,F Major
10.0,F Major
11.0,F Major
12.0,F Major
13.0,F Major
14.0,F Major
15.0,F Major
16.0,F Major
17.0,F Major
18.0,F Major
19.0,F Major
20.0,F Major
21.0,F Major
22.0,F Major
26.0,F Major
27.0,F Major
28.0,F Major
29.0,F Major
30.0,F Major
31.0,F Major
33.0,F Major
34.0,F Major
35.0,F Major
36.0,F Major
37.0,F Major
38.0,F Major
39.0,F Major
40.0,F Major
41.0,F Major
42.0,F Major
43.0,F Major
44.0,F Major
45.0,F Major
46.0,F Major
49.0,F Major
50.0,F Major
51.0,F Major
52.0,F Major
53.0,F Major
55.0,E- Major
58.0,E- Major
59.0,E- Major
61.0,E- Major
62.0,E- Major
63.0,E- Major
64.0,E- Major
65.0,E- Major
67.0,A- Major
68.0,A- Major
69.0,A- Major
70.0,b Minor
71.0,b Minor
73.0,b Minor
75.0,b Minor
76.0,b Minor
77.0,b Minor
79.0,b Minor
81.0,b Minor
82.0,B Major
83.0,B Major
84.0,B Major
85.0,B Major
86.0,B Major
87.0,B Major
88.0,B Major
89.0,B Major
90.0,B Major
91.0,B Major
93.0,B Major
94.0,B Major
95.0,B Major
96.0,B Major
97.0,B Major
98.0,B Major
99.0,B Major
100.0,B Major
101.0,B Major
102.0,B Major
103.0,B Major
104.0,B Major
105.0,B Major
106.0,B Major
109.0,B Major
110.0,B Major
111.0,B Major
112.0,A Major
114.0,A Major
115.0,A Major
117.0,A Major
118.0,A Major
119.0,A Major
121.0,A Major
122.0,A Major
123.0,A Major
124.0,A Major
125.0,A Major
127.0,f# Minor
129.0,f# Minor
130.0,f# Minor
131.0,g- Minor
135.0,f Minor
136.0,F Major
137.0,F Major
139.0,F Major
141.0,F Major
142.0,F Major
143.0,F Major
144.0,F Major
145.0,F Major
146.0,F Major
147.0,F Major
148.0,F Major
149.0,F Major
150.0,F Major
151.0,F Major
153.0,F Major
154.0,F Major
155.0,F Major
156.0,F Major
157.0,F Major
158.0,F Major
159.0,F Major
160.0,F Major
161.0,F Major
162.0,F Major
163.0,F Major
164.0,F Major
165.0,F Major
166.0,F Major
167.0,F Major
168.0,F Major
169.0,F Major
171.0,F Major
172.0,F Major
174.0,F Major
175.0,F Major
177.0,F Major
178.0,F Major
